Row Labels,no_injured,no_killed,no_incident
Wyoming,0,0,4
Nov,2377,1304,4802
Alabama,64,58,127
Alaska,7,4,22
Arizona,24,34,51
Arkansas,27,19,67
California,155,94,321
Colorado,36,19,80
Connecticut,13,4,40
Delaware,18,2,26
District of Columbia,30,8,152
Florida,132,62,285
Georgia,85,47,141
Hawaii,1,0,4
Idaho,9,1,16
Illinois,205,57,326
Indiana,57,37,114
Iowa,13,9,43
Kansas,22,15,52
Kentucky,46,27,94
Louisiana,116,53,177
Maine,2,0,22
Maryland,58,28,122
Massachusetts,27,7,152
Michigan,48,38,94
Minnesota,31,12,60
Mississippi,41,27,72
Missouri,93,55,165
Montana,3,5,14
Nebraska,11,3,39
Nevada,20,20,36
New Hampshire,7,4,20
New Jersey,43,15,96
New Mexico,12,13,25
New York,62,25,145
North Carolina,104,58,215
North Dakota,3,1,16
Ohio,125,60,221
Oklahoma,28,17,68
Oregon,24,13,64
Pennsylvania,101,59,183
Rhode Island,5,2,9
South Carolina,59,38,130
South Dakota,1,2,9
Tennessee,92,49,146
Texas,146,110,207
Utah,10,11,24
Vermont,3,0,7
Virginia,55,38,93
Washington,27,22,80
West Virginia,19,5,29
Wisconsin,57,15,96
Wyoming,0,2,5
Dec,2169,1288,4622
Alabama,65,43,109
Alaska,9,10,31
Arizona,24,29,52
Arkansas,27,15,59
California,117,133,347
Colorado,28,19,59
Connecticut,28,11,67
Delaware,12,7,27
District of Columbia,28,9,78
Florida,141,83,298
Georgia,57,51,127
Hawaii,2,0,9
Idaho,2,3,20
Illinois,217,51,323
Indiana,42,33,102
Iowa,24,2,37
Kansas,16,11,47
Kentucky,35,17,74
Louisiana,78,40,128
Maine,4,4,19
Maryland,79,39,149
Massachusetts,46,10,158
Michigan,44,24,68
Minnesota,12,10,61
Mississippi,68,30,100
Missouri,69,44,138
Montana,5,3,13
Nebraska,10,5,38
Nevada,14,28,36
New Hampshire,0,1,12
New Jersey,40,24,93
New Mexico,13,11,28
New York,54,43,158
North Carolina,82,46,172
North Dakota,4,0,7
Ohio,106,65,224
Oklahoma,35,11,85
Oregon,21,5,57
Pennsylvania,99,57,209
Rhode Island,2,0,5
South Carolina,65,24,135
South Dakota,2,0,8
Tennessee,97,41,137
Texas,101,95,187
Utah,10,4,14
Virginia,65,44,113
Washington,32,28,102
West Virginia,18,9,33
Wisconsin,19,15,66
Wyoming,1,1,3
Grand Total,30703,15511,61401
